epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,143.72,1.29514,1.85755,1.36241,0.48344,0.44827,0.47763,0.20583,2.0804,2.57969,2.02282,0.000618875,0.000618875,0.000618875
104,145.099,1.28111,1.78329,1.28793,0.36329,0.45635,0.45024,0.1912,2.05857,2.62114,2.06878,0.000612687,0.000612687,0.000612687
105,146.387,1.22251,1.78823,1.16884,0.36329,0.45635,0.45024,0.1912,2.05857,2.62114,2.06878,0.0006065,0.0006065,0.0006065
106,147.643,1.23545,1.73924,1.29706,0.36329,0.45635,0.45024,0.1912,2.05857,2.62114,2.06878,0.000600313,0.000600313,0.000600313
107,148.864,1.25729,1.89283,1.17841,0.36329,0.45635,0.45024,0.1912,2.05857,2.62114,2.06878,0.000594125,0.000594125,0.000594125
108,150.16,1.28137,1.71315,1.30704,0.53655,0.55098,0.52299,0.21462,2.0487,2.52941,2.02626,0.000587938,0.000587938,0.000587938
109,151.545,1.09792,1.74904,1.12842,0.53655,0.55098,0.52299,0.21462,2.0487,2.52941,2.02626,0.00058175,0.00058175,0.00058175
110,152.995,1.18233,1.76619,1.22297,0.53655,0.55098,0.52299,0.21462,2.0487,2.52941,2.02626,0.000575563,0.000575563,0.000575563
111,154.69,1.28756,1.91998,1.33114,0.53655,0.55098,0.52299,0.21462,2.0487,2.52941,2.02626,0.000569375,0.000569375,0.000569375
112,156.654,1.14275,1.74993,1.23094,0.58627,0.57384,0.56677,0.23561,2.08707,2.37459,2.06324,0.000563187,0.000563187,0.000563187
113,158.544,1.12854,1.74636,1.26917,0.58627,0.57384,0.56677,0.23561,2.08707,2.37459,2.06324,0.000557,0.000557,0.000557
114,160.408,1.00539,1.59133,1.20375,0.58627,0.57384,0.56677,0.23561,2.08707,2.37459,2.06324,0.000550813,0.000550813,0.000550813
