epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,783.917,0.89824,0.73062,1.02532,1,0.96788,0.99314,0.82901,0.69428,0.56459,1.22681,0.0014555,0.0014555,0.0014555
57,800.497,0.93996,0.74386,1.0179,0.99881,0.94872,0.98743,0.81431,0.73043,0.61513,1.25385,0.0014456,0.0014456,0.0014456
58,815.631,0.91055,0.72402,1.01319,0.99944,0.92308,0.98573,0.83818,0.64443,0.61604,1.17848,0.0014357,0.0014357,0.0014357
59,829.685,0.86812,0.71109,1.00935,0.97439,0.97552,0.9945,0.84602,0.64604,0.59538,1.19156,0.0014258,0.0014258,0.0014258
60,844.607,0.85912,0.69704,1.0012,0.99932,1,0.995,0.82988,0.68449,0.56921,1.19107,0.0014159,0.0014159,0.0014159
61,859.121,0.88758,0.7338,1.01678,0.99695,1,0.995,0.85459,0.61382,0.53722,1.13744,0.001406,0.001406,0.001406
62,873.041,0.87179,0.69852,1.02619,0.97434,1,0.995,0.85479,0.59062,0.55308,1.10645,0.0013961,0.0013961,0.0013961
63,888.109,0.91518,0.7103,1.0236,0.96203,1,0.99375,0.83768,0.647,0.54556,1.13795,0.0013862,0.0013862,0.0013862
64,902.144,0.86589,0.6765,0.98255,0.92854,1,0.98942,0.80642,0.71397,0.55671,1.19887,0.0013763,0.0013763,0.0013763
65,918.78,0.81791,0.66888,0.97578,1,0.9942,0.995,0.81674,0.69783,0.53338,1.21652,0.0013664,0.0013664,0.0013664
66,935.401,0.86093,0.69748,0.99362,1,0.99235,0.995,0.83945,0.67215,0.49192,1.21839,0.0013565,0.0013565,0.0013565
67,951.614,0.8428,0.6678,0.98372,0.94918,1,0.99326,0.84412,0.67894,0.49485,1.2189,0.0013466,0.0013466,0.0013466
68,966.823,0.85677,0.68138,0.97716,0.91801,1,0.98579,0.8348,0.66422,0.55609,1.1816,0.0013367,0.0013367,0.0013367
69,980.022,0.8097,0.65694,0.98011,0.94833,0.94142,0.98542,0.82639,0.67602,0.55459,1.202,0.0013268,0.0013268,0.0013268
70,994.043,0.82936,0.64302,0.98114,0.99791,1,0.995,0.84837,0.64059,0.48307,1.18728,0.0013169,0.0013169,0.0013169
71,1008.01,0.83039,0.63627,0.97794,0.99818,1,0.995,0.8357,0.64056,0.44186,1.15687,0.001307,0.001307,0.001307
72,1022.29,0.8109,0.6306,0.98494,0.99833,1,0.995,0.82541,0.6434,0.41579,1.1547,0.0012971,0.0012971,0.0012971
73,1035.13,0.83191,0.66029,0.97442,0.99825,1,0.995,0.8383,0.61602,0.41119,1.139,0.0012872,0.0012872,0.0012872
74,1048.24,0.8348,0.64281,0.95731,0.99801,1,0.995,0.85207,0.62145,0.41013,1.14979,0.0012773,0.0012773,0.0012773
75,1064.07,0.89449,0.65519,0.99777,0.99813,1,0.995,0.85165,0.61284,0.4123,1.1445,0.0012674,0.0012674,0.0012674
76,1078.7,0.83599,0.63525,0.9763,0.99809,1,0.995,0.8345,0.6509,0.41848,1.18495,0.0012575,0.0012575,0.0012575
77,1092.44,0.83155,0.65721,1.01277,0.9977,1,0.995,0.82358,0.65437,0.42839,1.20423,0.0012476,0.0012476,0.0012476
78,1108.76,0.83143,0.63983,0.97975,0.99726,1,0.995,0.83375,0.60007,0.43602,1.15314,0.0012377,0.0012377,0.0012377
79,1123.17,0.85216,0.64039,0.98057,1,0.9988,0.995,0.8394,0.59938,0.43523,1.14771,0.0012278,0.0012278,0.0012278
80,1137.92,0.79007,0.60525,0.95711,0.99415,1,0.995,0.86065,0.5836,0.40596,1.12383,0.0012179,0.0012179,0.0012179
81,1150.87,0.78496,0.60021,0.96998,0.998,1,0.995,0.8571,0.59641,0.40245,1.13958,0.001208,0.001208,0.001208
82,1165.67,0.79631,0.60905,0.95535,0.99781,1,0.995,0.84984,0.57693,0.39538,1.13426,0.0011981,0.0011981,0.0011981
83,1181.95,0.84695,0.62299,0.97922,0.99778,1,0.995,0.86072,0.5984,0.39356,1.14221,0.0011882,0.0011882,0.0011882
84,1196.33,0.82538,0.61563,0.95979,0.99819,1,0.995,0.84978,0.59648,0.39383,1.12252,0.0011783,0.0011783,0.0011783
85,1210.55,0.788,0.59985,0.96028,0.9979,1,0.995,0.85386,0.57804,0.37723,1.10924,0.0011684,0.0011684,0.0011684
86,1225.69,0.7774,0.59969,0.9717,0.95095,1,0.99325,0.84626,0.59391,0.42191,1.12141,0.0011585,0.0011585,0.0011585
87,1241.97,0.78311,0.58044,0.96048,0.94794,1,0.99203,0.8424,0.60213,0.44515,1.13645,0.0011486,0.0011486,0.0011486
88,1256.93,0.80336,0.60308,0.96964,0.97133,1,0.9945,0.86442,0.5907,0.38392,1.11329,0.0011387,0.0011387,0.0011387
89,1273.85,0.80309,0.59464,0.95774,0.99588,1,0.995,0.86985,0.58834,0.36567,1.1059,0.0011288,0.0011288,0.0011288
90,1288.25,0.81926,0.6087,0.96988,0.99519,1,0.995,0.87703,0.55294,0.38005,1.09222,0.0011189,0.0011189,0.0011189
91,1299.82,0.7069,0.55558,0.93332,0.99832,1,0.995,0.86942,0.58053,0.38988,1.12206,0.001109,0.001109,0.001109
92,1313.14,0.77857,0.57608,0.9576,0.99879,1,0.995,0.85933,0.60189,0.38845,1.14846,0.0010991,0.0010991,0.0010991
93,1326.38,0.77835,0.58169,0.95215,0.99419,1,0.995,0.86753,0.60343,0.38284,1.13736,0.0010892,0.0010892,0.0010892
94,1340.31,0.78525,0.60548,0.95648,0.99491,1,0.995,0.85624,0.61476,0.3885,1.14719,0.0010793,0.0010793,0.0010793
95,1354.57,0.73617,0.55288,0.9319,0.99694,1,0.995,0.86788,0.62368,0.39146,1.15836,0.0010694,0.0010694,0.0010694
96,1368.76,0.71928,0.53905,0.9445,0.99718,1,0.995,0.8611,0.62228,0.38726,1.16208,0.0010595,0.0010595,0.0010595
97,1383.44,0.76849,0.5765,0.95729,0.99621,1,0.995,0.86521,0.62107,0.38097,1.16966,0.0010496,0.0010496,0.0010496
98,1397.81,0.691,0.54081,0.93515,0.97192,1,0.9945,0.85102,0.63432,0.39058,1.18162,0.0010397,0.0010397,0.0010397
99,1412.57,0.71631,0.55003,0.92221,0.94806,1,0.99197,0.85663,0.62317,0.39619,1.17417,0.0010298,0.0010298,0.0010298
100,1426.58,0.71328,0.54309,0.91445,0.95087,1,0.99274,0.85387,0.62016,0.38632,1.17875,0.0010199,0.0010199,0.0010199
101,1439.13,0.70434,0.5494,0.93366,0.99127,0.97436,0.99402,0.85828,0.61808,0.37206,1.16643,0.00101,0.00101,0.00101
102,1452.65,0.74212,0.5568,0.91678,0.99958,1,0.995,0.85278,0.64184,0.37254,1.17407,0.0010001,0.0010001,0.0010001
103,1466.31,0.69095,0.53681,0.93968,0.99292,1,0.995,0.84961,0.6636,0.38343,1.18464,0.0009902,0.0009902,0.0009902
104,1480.1,0.73816,0.55826,0.93554,0.99394,1,0.995,0.84522,0.65806,0.3801,1.17806,0.0009803,0.0009803,0.0009803
105,1495.48,0.70823,0.53998,0.9314,0.99674,1,0.995,0.85808,0.64725,0.37403,1.1711,0.0009704,0.0009704,0.0009704
106,1509.87,0.75524,0.55668,0.94283,0.9975,1,0.995,0.85127,0.63143,0.37853,1.16608,0.0009605,0.0009605,0.0009605
107,1523.65,0.70688,0.52891,0.92941,0.99873,1,0.995,0.84595,0.61603,0.38401,1.14545,0.0009506,0.0009506,0.0009506
108,1538.53,0.71907,0.54375,0.92684,1,0.99567,0.995,0.85699,0.61949,0.39204,1.13601,0.0009407,0.0009407,0.0009407
109,1552.5,0.67031,0.51976,0.91411,0.97485,0.99397,0.99375,0.85819,0.6088,0.40833,1.12085,0.0009308,0.0009308,0.0009308
110,1566.85,0.66402,0.5025,0.92926,0.97185,0.97436,0.99152,0.85624,0.59302,0.41297,1.09839,0.0009209,0.0009209,0.0009209
111,1580.93,0.67678,0.51824,0.93287,0.97427,0.97095,0.99105,0.85495,0.60112,0.40897,1.10127,0.000911,0.000911,0.000911
112,1595.38,0.66663,0.49682,0.90633,0.97428,0.97149,0.99105,0.8473,0.61422,0.39534,1.11823,0.0009011,0.0009011,0.0009011
113,1609.49,0.70378,0.53635,0.93035,0.9743,0.97201,0.99119,0.84666,0.61372,0.38639,1.13785,0.0008912,0.0008912,0.0008912
114,1624.43,0.68088,0.5213,0.92738,0.99955,0.94872,0.99048,0.8574,0.60362,0.39509,1.16052,0.0008813,0.0008813,0.0008813
115,1638.78,0.66258,0.50612,0.91146,1,0.96966,0.99125,0.85495,0.60829,0.41935,1.16336,0.0008714,0.0008714,0.0008714
116,1652.49,0.63419,0.4926,0.8869,1,0.97121,0.98972,0.84372,0.64126,0.43746,1.18154,0.0008615,0.0008615,0.0008615
117,1666.42,0.65549,0.50842,0.92389,1,0.97286,0.99402,0.86028,0.63275,0.40181,1.1726,0.0008516,0.0008516,0.0008516
118,1681.44,0.64933,0.50271,0.90111,1,0.97416,0.99402,0.86294,0.63769,0.40105,1.17422,0.0008417,0.0008417,0.0008417
119,1694.54,0.71813,0.52752,0.93384,1,0.97141,0.99314,0.86076,0.63287,0.39678,1.1708,0.0008318,0.0008318,0.0008318
120,1708.32,0.69729,0.52104,0.90496,0.97491,0.99647,0.9945,0.85895,0.62292,0.40282,1.16636,0.0008219,0.0008219,0.0008219
121,1723.04,0.67472,0.50987,0.90733,1,0.97416,0.99357,0.85779,0.61196,0.39842,1.16024,0.000812,0.000812,0.000812
122,1737.56,0.65087,0.50532,0.9194,1,0.99795,0.995,0.85141,0.61258,0.38806,1.1699,0.0008021,0.0008021,0.0008021
123,1751.15,0.61929,0.48715,0.92109,1,0.99845,0.995,0.8474,0.59876,0.38527,1.15438,0.0007922,0.0007922,0.0007922
124,1766,0.59781,0.45296,0.92434,1,0.99578,0.995,0.84435,0.61109,0.40372,1.15763,0.0007823,0.0007823,0.0007823
