epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,96.1264,1.94936,2.55905,2.83802,1.17569,0.00667,0.05714,0.01177,0.00235,0.00667,0.05714,0.01177,0.00138,2.0886,3.65323,3.46974,1.43585,0.00100769,0.00100769,0.00100769
61,97.318,2.15048,2.59043,2.95991,1.17315,0.00667,0.05714,0.01177,0.00235,0.00667,0.05714,0.01177,0.00138,2.0886,3.65323,3.46974,1.43585,0.0010218,0.0010218,0.0010218
62,98.9848,1.96159,2.61492,2.65316,1.20465,0.00667,0.05714,0.01177,0.00235,0.00667,0.05714,0.01177,0.00138,2.0886,3.65323,3.46974,1.43585,0.00103581,0.00103581,0.00103581
63,100.395,1.50547,2.60569,2.62773,1.06982,0.00333,0.02857,0.00996,0.00399,0.00333,0.02857,0.00996,0.00199,2.1474,3.23492,3.36314,1.48725,0.00104972,0.00104972,0.00104972
64,101.997,1.83353,2.02989,2.6984,1.12971,0.00333,0.02857,0.00996,0.00399,0.00333,0.02857,0.00996,0.00199,2.1474,3.23492,3.36314,1.48725,0.00106353,0.00106353,0.00106353
65,103.036,2.06025,2.62624,2.85234,1.15932,0.00333,0.02857,0.00996,0.00399,0.00333,0.02857,0.00996,0.00199,2.1474,3.23492,3.36314,1.48725,0.00107725,0.00107725,0.00107725
66,104.213,2.00355,2.43229,2.94641,1.10308,0.01333,0.11429,0.02033,0.0092,0.00667,0.05714,0.01234,0.00645,2.10258,3.46437,3.24829,1.40827,0.00109086,0.00109086,0.00109086
67,105.222,2.11042,2.37647,2.89726,1.11482,0.01333,0.11429,0.02033,0.0092,0.00667,0.05714,0.01234,0.00645,2.10258,3.46437,3.24829,1.40827,0.00110438,0.00110438,0.00110438
68,106.409,2.18664,2.6009,2.71847,1.19323,0.01333,0.11429,0.02033,0.0092,0.00667,0.05714,0.01234,0.00645,2.10258,3.46437,3.24829,1.40827,0.00111779,0.00111779,0.00111779
69,107.944,1.56565,2.02958,2.51805,1.09517,0.01667,0.14286,0.04368,0.02375,0.01,0.08571,0.03418,0.0178,2.27093,3.61905,3.27518,1.39734,0.00113111,0.00113111,0.00113111
70,109.951,2.2635,2.35608,2.86329,1.33803,0.01667,0.14286,0.04368,0.02375,0.01,0.08571,0.03418,0.0178,2.27093,3.61905,3.27518,1.39734,0.00114433,0.00114433,0.00114433
71,111.607,1.7099,2.36819,2.54784,1.13034,0.01667,0.14286,0.04368,0.02375,0.01,0.08571,0.03418,0.0178,2.27093,3.61905,3.27518,1.39734,0.00115745,0.00115745,0.00115745
72,113.496,1.58554,1.99928,2.48533,1.085,0.01333,0.11429,0.03398,0.01491,0.01,0.08571,0.01849,0.00773,2.43212,3.75922,3.25321,1.39468,0.00117047,0.00117047,0.00117047
73,114.523,1.64523,2.08082,2.59672,1.06127,0.01333,0.11429,0.03398,0.01491,0.01,0.08571,0.01849,0.00773,2.43212,3.75922,3.25321,1.39468,0.00118339,0.00118339,0.00118339
74,116.269,1.99173,2.63196,2.63754,1.21552,0.01333,0.11429,0.03398,0.01491,0.01,0.08571,0.01849,0.00773,2.43212,3.75922,3.25321,1.39468,0.00119621,0.00119621,0.00119621
75,117.49,1.54476,2.01589,2.61887,1.04276,0.02333,0.2,0.02612,0.015,0.02333,0.2,0.01964,0.00719,2.19121,3.8229,3.09678,1.37649,0.00120894,0.00120894,0.00120894
76,119.54,2.11107,2.34935,2.78369,1.23989,0.02333,0.2,0.02612,0.015,0.02333,0.2,0.01964,0.00719,2.19121,3.8229,3.09678,1.37649,0.00122156,0.00122156,0.00122156
77,120.597,1.49268,1.77099,2.57868,1.00669,0.02333,0.2,0.02612,0.015,0.02333,0.2,0.01964,0.00719,2.19121,3.8229,3.09678,1.37649,0.00123409,0.00123409,0.00123409
78,121.789,1.73272,2.00998,2.61153,1.11089,0.08893,0.2,0.04733,0.01599,0.06352,0.14286,0.04031,0.01277,2.14414,3.97937,2.97958,1.45865,0.00124651,0.00124651,0.00124651
79,123.32,1.72098,1.99973,2.58549,1.11376,0.08893,0.2,0.04733,0.01599,0.06352,0.14286,0.04031,0.01277,2.14414,3.97937,2.97958,1.45865,0.00125884,0.00125884,0.00125884
80,124.564,1.6479,1.91455,2.58196,1.07466,0.08893,0.2,0.04733,0.01599,0.06352,0.14286,0.04031,0.01277,2.14414,3.97937,2.97958,1.45865,0.00127107,0.00127107,0.00127107
81,125.738,1.77708,2.40067,2.59564,1.03682,0.05814,0.2,0.04223,0.01411,0.04983,0.17143,0.0379,0.01108,2.18187,3.96919,2.93465,1.5782,0.0012832,0.0012832,0.0012832
82,127.565,1.70883,2.29064,2.45322,1.0926,0.05814,0.2,0.04223,0.01411,0.04983,0.17143,0.0379,0.01108,2.18187,3.96919,2.93465,1.5782,0.00129523,0.00129523,0.00129523
83,129.024,1.63348,1.8896,2.50729,1.11975,0.05814,0.2,0.04223,0.01411,0.04983,0.17143,0.0379,0.01108,2.18187,3.96919,2.93465,1.5782,0.00130716,0.00130716,0.00130716
